barrios_hecho,ano,quantity
12 DE OCTUBRE,2010,14
12 DE OCTUBRE,2011,21
12 DE OCTUBRE,2012,17
12 DE OCTUBRE,2013,20
12 DE OCTUBRE,2014,29
12 DE OCTUBRE,2015,22
12 DE OCTUBRE,2016,38
12 DE OCTUBRE,2017,22
12 DE OCTUBRE,2018,29
12 DE OCTUBRE,2019,22
12 DE OCTUBRE,2020,21
12 DE OCTUBRE,2021,15
13 DE JUNIO,2010,3
13 DE JUNIO,2012,4
13 DE JUNIO,2013,1
13 DE JUNIO,2014,1
13 DE JUNIO,2015,3
13 DE JUNIO,2016,4
13 DE JUNIO,2017,3
13 DE JUNIO,2018,5
13 DE JUNIO,2019,5
13 DE JUNIO,2020,4
13 DE JUNIO,2021,1
23 DE JUNIO,2010,4
23 DE JUNIO,2011,8
23 DE JUNIO,2012,9
23 DE JUNIO,2013,7
23 DE JUNIO,2014,4
23 DE JUNIO,2015,5
23 DE JUNIO,2016,7
23 DE JUNIO,2017,3
23 DE JUNIO,2018,13
23 DE JUNIO,2019,10
23 DE JUNIO,2020,7
23 DE JUNIO,2021,11
5 DE ENERO,2012,1
5 DE ENERO,2014,1
5 DE ENERO,2015,1
5 DE ENERO,2016,4
5 DE ENERO,2017,4
5 DE ENERO,2018,1
5 DE ENERO,2020,3
ALARCON,2010,100
ALARCON,2011,130
ALARCON,2012,147
ALARCON,2013,119
ALARCON,2014,177
ALARCON,2015,183
ALARCON,2016,279
ALARCON,2017,218
ALARCON,2018,202
ALARCON,2019,234
ALARCON,2020,140
ALARCON,2021,144
ALTOS DEL KENNEDY,2010,1
ALTOS DEL KENNEDY,2011,4
ALTOS DEL KENNEDY,2012,1
ALTOS DEL KENNEDY,2013,3
ALTOS DEL KENNEDY,2014,6
ALTOS DEL KENNEDY,2015,3
ALTOS DEL KENNEDY,2016,10
ALTOS DEL KENNEDY,2017,3
ALTOS DEL KENNEDY,2018,11
ALTOS DEL KENNEDY,2019,10
ALTOS DEL KENNEDY,2020,4
ALTOS DEL KENNEDY,2021,10
ALTOS DEL PROGRESO,2010,5
ALTOS DEL PROGRESO,2011,17
ALTOS DEL PROGRESO,2012,13
ALTOS DEL PROGRESO,2013,15
ALTOS DEL PROGRESO,2014,10
ALTOS DEL PROGRESO,2015,15
ALTOS DEL PROGRESO,2016,11
ALTOS DEL PROGRESO,2017,13
ALTOS DEL PROGRESO,2018,19
ALTOS DEL PROGRESO,2019,21
ALTOS DEL PROGRESO,2020,13
ALTOS DEL PROGRESO,2021,8
BALCONES DEL KENNEDY,2010,3
BALCONES DEL KENNEDY,2011,4
BALCONES DEL KENNEDY,2012,5
BALCONES DEL KENNEDY,2013,5
BALCONES DEL KENNEDY,2014,2
BALCONES DEL KENNEDY,2015,7
BALCONES DEL KENNEDY,2016,4
BALCONES DEL KENNEDY,2017,10
BALCONES DEL KENNEDY,2018,6
BALCONES DEL KENNEDY,2019,3
BALCONES DEL KENNEDY,2020,1
BALCONES DEL KENNEDY,2021,5
BARRIO NUEVO,2018,1
BARRIO NUEVO,2020,1
BARRIO NUEVO,2021,5
BETANIA,2010,16
BETANIA,2011,21
BETANIA,2012,22
BETANIA,2013,52
BETANIA,2014,48
BETANIA,2015,68
BETANIA,2016,77
BETANIA,2017,102
BETANIA,2018,79
BETANIA,2019,51
BETANIA,2020,63
BETANIA,2021,75
BOSQUE NORTE,2010,24
BOSQUE NORTE,2011,27
BOSQUE NORTE,2012,30
BOSQUE NORTE,2013,28
BOSQUE NORTE,2014,23
BOSQUE NORTE,2015,23
BOSQUE NORTE,2016,25
BOSQUE NORTE,2017,20
BOSQUE NORTE,2018,17
BOSQUE NORTE,2019,11
BOSQUE NORTE,2020,10
BOSQUE NORTE,2021,20
BUENOS AIRES,2010,46
BUENOS AIRES,2011,40
BUENOS AIRES,2012,58
BUENOS AIRES,2013,46
BUENOS AIRES,2014,38
BUENOS AIRES,2015,26
BUENOS AIRES,2016,29
BUENOS AIRES,2017,59
BUENOS AIRES,2018,69
BUENOS AIRES,2019,46
BUENOS AIRES,2020,42
BUENOS AIRES,2021,89
CAFE MADRID,2010,162
CAFE MADRID,2011,218
CAFE MADRID,2012,219
CAFE MADRID,2013,169
