,barrios_hecho,quantity
0,12 DE OCTUBRE,270
1,13 DE JUNIO,34
2,23 DE JUNIO,88
3,5 DE ENERO,15
4,ALARCON,2073
5,ALTOS DEL KENNEDY,66
6,ALTOS DEL PROGRESO,160
7,BALCONES DEL KENNEDY,55
8,BARRIO NUEVO,7
9,BETANIA,674
10,BOSQUE NORTE,258
11,BUENOS AIRES,588
12,CAFE MADRID,2216
13,CAMILO TORRES,169
14,CAMPO MADRID,223
15,CARLOS PIZARRO,5
16,CHAPINERO,644
17,CLAVERIANO,306
18,COLORADOS,1220
19,COMUNEROS,2235
20,DIVINO NIÑO,56
21,DON BOSCO,130
22,EL CINAL,73
23,EL PABLÓN,275
24,EL ROSAL,63
25,ESTORAQUES,9
26,GAITAN,1555
27,GALLINERAL,8
28,GIRARDOT,2608
29,GRANADA,928
30,JOSE ANTONIO GALAN,249
31,JOSE MARIA CORDOBA,185
32,KENNEDY,1422
33,LA ESPERANZA I,344
34,LA ESPERANZA II,376
35,LA ESPERANZA III,225
36,LA FERIA,489
37,LA GLORIA,99
38,LA INDEPENDENCIA,592
39,LA INMACULADA,374
40,LA JUVENTUD,484
41,LA UNIVERSIDAD,2029
42,LAS HAMACAS,125
43,LIZCANO I,44
44,LIZCANO II,43
45,LOS ANGELES,264
46,MARIA PAZ,501
47,MESETAS DEL SANTUARIO,1
48,MINUTO DE DIOS,225
49,MIRADOR,12
50,MIRADOR DEL KENNEDY,43
51,MIRAFLORES,611
52,MIRAMAR,96
53,MODELO,448
54,MORRORICO,833
55,MUTUALIDAD,786
56,NAPOLES,210
57,NARIÑO,374
58,NAVAS,2
59,NORTE BAJO,219
60,OLAS ALTAS,85
61,OLAS BAJAS,209
62,OLAS II,53
63,OMAGA I,17
64,OMAGA II,32
65,PIO XII,87
66,PRIMAVERAL,9
67,PUERTO RICO,59
68,QUEBRADA LA IGLESIA I,146
69,REGADERO NORTE,400
70,RINCON DE LA PAZ,46
71,SAN CRISTOBAL,272
72,SAN MARTIN,601
73,SAN PEDRO CLAVER,85
74,SAN RAFAEL,740
75,SANTANDER,479
76,TEJAR NORTE,228
77,TRANSICION,9
78,TRANSICION I,426
79,TRANSICION II,95
80,TRANSICION III,101
81,TRANSICION IV,112
82,TRANSICION V,188
83,VILLA HELENA,2
84,VILLA HELENA I,384
85,VILLA HELENA II,38
86,VILLA MARIA I,78
87,VILLA MARIA III,1
88,VILLA MERCEDES,516
89,VILLA ROSA,1133
90,VILLAS DE GIRARDOT,159
91,ZARABANDA,206
