,barrios_hecho,conducta,quantity
0,12 DE OCTUBRE,DELITOS SEXUALES O PROSTITUCION,10
1,12 DE OCTUBRE,HURTO,76
2,12 DE OCTUBRE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),14
3,12 DE OCTUBRE,LESIONES PERSONALES,76
4,12 DE OCTUBRE,OTROS,9
5,12 DE OCTUBRE,VIOLENCIA INTRAFAMILIAR,85
6,13 DE JUNIO,DELITOS SEXUALES O PROSTITUCION,1
7,13 DE JUNIO,HURTO,17
8,13 DE JUNIO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5
9,13 DE JUNIO,LESIONES PERSONALES,3
10,13 DE JUNIO,OTROS,2
11,13 DE JUNIO,VIOLENCIA INTRAFAMILIAR,6
12,23 DE JUNIO,DELITOS SEXUALES O PROSTITUCION,5
13,23 DE JUNIO,HURTO,26
14,23 DE JUNIO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
15,23 DE JUNIO,LESIONES PERSONALES,22
16,23 DE JUNIO,OTROS,3
17,23 DE JUNIO,VIOLENCIA INTRAFAMILIAR,30
18,5 DE ENERO,DELITOS SEXUALES O PROSTITUCION,1
19,5 DE ENERO,HURTO,2
20,5 DE ENERO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
21,5 DE ENERO,LESIONES PERSONALES,7
22,5 DE ENERO,OTROS,2
23,5 DE ENERO,VIOLENCIA INTRAFAMILIAR,2
24,ALARCON,DELITOS SEXUALES O PROSTITUCION,69
25,ALARCON,HURTO,1046
26,ALARCON,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),382
27,ALARCON,LESIONES PERSONALES,339
28,ALARCON,OTROS,53
29,ALARCON,VIOLENCIA INTRAFAMILIAR,183
30,ALTOS DEL KENNEDY,DELITOS SEXUALES O PROSTITUCION,6
31,ALTOS DEL KENNEDY,HURTO,28
32,ALTOS DEL KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
33,ALTOS DEL KENNEDY,LESIONES PERSONALES,15
34,ALTOS DEL KENNEDY,OTROS,2
35,ALTOS DEL KENNEDY,VIOLENCIA INTRAFAMILIAR,13
36,ALTOS DEL PROGRESO,DELITOS SEXUALES O PROSTITUCION,3
37,ALTOS DEL PROGRESO,HURTO,51
38,ALTOS DEL PROGRESO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),24
39,ALTOS DEL PROGRESO,LESIONES PERSONALES,28
40,ALTOS DEL PROGRESO,OTROS,6
41,ALTOS DEL PROGRESO,VIOLENCIA INTRAFAMILIAR,48
42,BALCONES DEL KENNEDY,DELITOS SEXUALES O PROSTITUCION,2
43,BALCONES DEL KENNEDY,HURTO,18
44,BALCONES DEL KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
45,BALCONES DEL KENNEDY,LESIONES PERSONALES,13
46,BALCONES DEL KENNEDY,OTROS,1
47,BALCONES DEL KENNEDY,VIOLENCIA INTRAFAMILIAR,20
48,BARRIO NUEVO,HURTO,5
49,BARRIO NUEVO,LESIONES PERSONALES,2
50,BETANIA,DELITOS SEXUALES O PROSTITUCION,24
51,BETANIA,HURTO,220
52,BETANIA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),44
53,BETANIA,LESIONES PERSONALES,209
54,BETANIA,OTROS,31
55,BETANIA,VIOLENCIA INTRAFAMILIAR,146
56,BOSQUE NORTE,DELITOS SEXUALES O PROSTITUCION,12
57,BOSQUE NORTE,HURTO,74
58,BOSQUE NORTE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),23
59,BOSQUE NORTE,LESIONES PERSONALES,92
60,BOSQUE NORTE,OTROS,11
61,BOSQUE NORTE,VIOLENCIA INTRAFAMILIAR,46
62,BUENOS AIRES,DELITOS SEXUALES O PROSTITUCION,39
63,BUENOS AIRES,HURTO,195
64,BUENOS AIRES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),31
65,BUENOS AIRES,LESIONES PERSONALES,171
66,BUENOS AIRES,OTROS,25
67,BUENOS AIRES,VIOLENCIA INTRAFAMILIAR,127
68,CAFE MADRID,DELITOS SEXUALES O PROSTITUCION,137
69,CAFE MADRID,HURTO,661
70,CAFE MADRID,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),304
71,CAFE MADRID,LESIONES PERSONALES,550
72,CAFE MADRID,OTROS,87
73,CAFE MADRID,VIOLENCIA INTRAFAMILIAR,477
74,CAMILO TORRES,DELITOS SEXUALES O PROSTITUCION,13
75,CAMILO TORRES,HURTO,46
76,CAMILO TORRES,LESIONES PERSONALES,62
77,CAMILO TORRES,OTROS,3
78,CAMILO TORRES,VIOLENCIA INTRAFAMILIAR,45
79,CAMPO MADRID,DELITOS SEXUALES O PROSTITUCION,10
80,CAMPO MADRID,HURTO,68
81,CAMPO MADRID,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
82,CAMPO MADRID,LESIONES PERSONALES,58
83,CAMPO MADRID,OTROS,8
84,CAMPO MADRID,VIOLENCIA INTRAFAMILIAR,76
85,CARLOS PIZARRO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
86,CARLOS PIZARRO,LESIONES PERSONALES,1
