barrios_hecho,quantity
12 DE OCTUBRE,157
13 DE JUNIO,15
23 DE JUNIO,54
5 DE ENERO,9
ALARCON,774
ALTOS DEL KENNEDY,37
ALTOS DEL PROGRESO,90
BALCONES DEL KENNEDY,33
BETANIA,310
BOSQUE NORTE,119
BUENOS AIRES,287
CAFE MADRID,1061
CAMILO TORRES,105
CAMPO MADRID,126
CARLOS PIZARRO,4
CHAPINERO,223
CLAVERIANO,137
COLORADOS,637
COMUNEROS,958
DIVINO NIÑO,18
DON BOSCO,68
EL CINAL,36
EL PABLÓN,156
EL ROSAL,31
ESTORAQUES,8
GAITAN,611
GALLINERAL,5
GIRARDOT,1090
GRANADA,245
JOSE ANTONIO GALAN,130
JOSE MARIA CORDOBA,89
KENNEDY,597
LA ESPERANZA I,174
LA ESPERANZA II,188
LA ESPERANZA III,115
LA FERIA,238
LA GLORIA,55
LA INDEPENDENCIA,293
LA INMACULADA,146
LA JUVENTUD,201
LA UNIVERSIDAD,823
LAS HAMACAS,52
LIZCANO I,23
LIZCANO II,23
LOS ANGELES,120
MARIA PAZ,265
MINUTO DE DIOS,108
MIRADOR,3
MIRADOR DEL KENNEDY,24
MIRAFLORES,305
MIRAMAR,39
MODELO,160
MORRORICO,338
MUTUALIDAD,263
NAPOLES,116
NARIÑO,186
NORTE BAJO,88
OLAS ALTAS,33
OLAS BAJAS,96
OLAS II,24
OMAGA I,8
OMAGA II,15
PIO XII,40
PRIMAVERAL,5
PUERTO RICO,26
QUEBRADA LA IGLESIA I,63
REGADERO NORTE,177
RINCON DE LA PAZ,29
SAN CRISTOBAL,130
SAN MARTIN,258
SAN PEDRO CLAVER,58
SAN RAFAEL,315
SANTANDER,216
TEJAR NORTE,125
TRANSICION,6
TRANSICION I,228
TRANSICION II,56
TRANSICION III,55
TRANSICION IV,59
TRANSICION V,106
VILLA HELENA,1
VILLA HELENA I,182
VILLA HELENA II,19
VILLA MARIA I,45
VILLA MARIA III,1
VILLA MERCEDES,223
VILLA ROSA,525
VILLAS DE GIRARDOT,99
ZARABANDA,110
